,title,URL,Category,Goal,Total raised,Pct Original Goal,successful
219,"Help Syrian refugee, Karim, to resettle his family",https://www.crowdfunder.co.uk/help-syrian-refugee-karim-to-resettle-his-family,Community,6984.0,10476,150.0,True
220,Sian for Mayor - Help Greens Win in London!,https://www.crowdfunder.co.uk/help-greens-win-in-london,Community,9958.095238095239,10456,105.0,True
221,Save Oxford House's secret chapel,https://www.crowdfunder.co.uk/restore-oxford-house-chapel,Community,24821.428571428572,10425,42.0,False
222,WPRFC - Floodlight appeal,https://www.crowdfunder.co.uk/wprfc-floodlights,Community,5497.354497354498,10390,189.0,True
223,Forest Hill Library Launch Fund,https://www.crowdfunder.co.uk/forest-hill-library-launch-fund,Community,5994.186046511628,10310,172.0,True
224,Nature's Nutrition Co-operative,https://www.crowdfunder.co.uk/natures-nutrition-co-operative,Community,9998.058252427183,10298,103.0,True
225,Julian's Sanctuary Garden,https://www.crowdfunder.co.uk/julians-sanctuary-garden,Community,9990.291262135923,10290,103.0,True
226,The Sustainable Studio community events space,https://www.crowdfunder.co.uk/the-sustainable-studio-community-events-space,Community,9972.815533980582,10272,103.0,True
227,Help Un-Age grow inter-generational food start ups,https://www.crowdfunder.co.uk/help-unage-to-grow-intergenerational-food-start-up,Community,10027.450980392157,10228,102.0,True
228,The Media Fund: finance the UKs media revolution!,https://www.crowdfunder.co.uk/mediafund,Community,10026.470588235294,10227,102.0,True
229,Snapdragons Plymouth CIC,https://www.crowdfunder.co.uk/snapdragons-plymouth-714086462116998,Community,10025.49019607843,10226,102.0,True
230,Dave's final wish to get security for his family,https://www.crowdfunder.co.uk/daves-final-wish-to-get-security-for-his-family,Community,10019.607843137255,10220,102.0,True
231,Free Schools India,https://www.crowdfunder.co.uk/free-schools-india,Community,10014.70588235294,10215,102.0,True
232,The Happy Pig,https://www.crowdfunder.co.uk/happypig,Community,8504.166666666668,10205,120.0,True
233,The Art of Survival,https://www.crowdfunder.co.uk/artofsurvival,Community,5989.411764705882,10182,170.0,True
234,Research for ME/CFS at The Optimum Health Clinic,https://www.crowdfunder.co.uk/research-on-mecfs-at-the-optimum-health-clinic,Community,9970.588235294117,10170,102.0,True
235,Kayakathons,https://www.crowdfunder.co.uk/kayakathons,Community,10039.603960396038,10140,101.0,True
236,We Are Not Saints - The Recovery Record Label,https://www.crowdfunder.co.uk/we-are-not-saints,Community,10031.683168316831,10132,101.0,True
237,Furry Tales,https://www.crowdfunder.co.uk/furry-tales,Community,7969.291338582677,10121,127.0,True
238,Protect Our North Coast - Expertise,https://www.crowdfunder.co.uk/protect-our-north-coast-expertise,Community,9990.09900990099,10090,101.0,True
239,The Frome Independent,https://www.crowdfunder.co.uk/the-frome-independent,Community,9983.168316831683,10083,101.0,True
240,Warwick Rocks 2015,https://www.crowdfunder.co.uk/warwick-rocks-2015,Community,9960.396039603962,10060,101.0,True
241,SquareOneAtlantic,https://www.crowdfunder.co.uk/squareoneatlantic,Community,10002.0,10002,100.0,True
242,PRIOR shop,https://www.crowdfunder.co.uk/priorshop-uk,Community,12048.192771084337,10000,83.0,False
243,Newcastle Mela 25th Anniversary,https://www.crowdfunder.co.uk/newcastle-mela-25th-anniversary,Community,10000.0,10000,100.0,True
244,Oomph Active Adults,https://www.crowdfunder.co.uk/oomph-active-adults-1,Community,10000.0,10000,100.0,True
245,Newcastle Chinese New Year parade 2018,https://www.crowdfunder.co.uk/newcastle-chinese-new-year-parade-2018,Community,10000.0,10000,100.0,True
246,Access Bike - Getting Young People on their Bike,https://www.crowdfunder.co.uk/accessbike,Community,10000.0,10000,100.0,True
247,BIG Christmas Weekends!,https://www.crowdfunder.co.uk/big-christmas-weekends,Community,10000.0,10000,100.0,True
248,Toxteth Food Central,https://www.crowdfunder.co.uk/toxteth-food-central,Community,7997.58064516129,9917,124.0,True
249,Sheffield Street Trees Legal Fund Continuation 3,https://www.crowdfunder.co.uk/sheffield-street-trees-legal-fund-continuation-3,Community,4989.898989898989,9880,198.0,True
250,Find Gobi,https://www.crowdfunder.co.uk/find-gobi-1,Community,5005.102040816327,9810,196.0,True
251,Somerford Youth Club drama and wellbeing project,https://www.crowdfunder.co.uk/wellbeing-in-drama,Community,8054.166666666667,9665,120.0,True
252,Welcoming Refugees,https://www.crowdfunder.co.uk/welcoming-refugees,Community,3500.0,9625,275.0,True
253,Then & Now,https://www.crowdfunder.co.uk/then-now,Community,9538.0,9538,100.0,True
254,Save The Northern Belle,https://www.crowdfunder.co.uk/save-the-northern-belle,Community,8508.92857142857,9530,112.0,True
255,Open Barbers,https://www.crowdfunder.co.uk/openbarbers,Community,9036.538461538461,9398,104.0,True
256,Street Goat,https://www.crowdfunder.co.uk/street-goat,Community,8985.576923076922,9345,104.0,True
257,Dig for Disabilities,https://www.crowdfunder.co.uk/dig-for-disabilities,Community,9029.126213592232,9300,103.0,True
258,"Bright Green Futures  - ""The Pioneers Film""",https://www.crowdfunder.co.uk/bright-green-futures-the-pioneers,Community,7992.241379310344,9271,116.0,True
259,PROJECT LOYALTY,https://www.crowdfunder.co.uk/project-loyalty,Community,5000.0,9250,185.0,True
260,Wards Corner Community Plan,https://www.crowdfunder.co.uk/wardscorner,Community,7504.065040650407,9230,123.0,True
261,Charity Premises,https://www.crowdfunder.co.uk/provide-devon-premises,Community,8000.0,9200,115.0,True
262,The Taxing Question of Land Value,https://www.crowdfunder.co.uk/the_taxing_question_of_land_value,Community,8990.196078431372,9170,102.0,True
263,NURSE,https://www.crowdfunder.co.uk/nursethefilm,Community,6798.496240601505,9042,133.0,True
264,Save Sunny News,https://www.crowdfunder.co.uk/save-sunny-news-1,Community,2001.3333333333333,9006,450.0,True
265,The Catholic Worker Farm,https://www.crowdfunder.co.uk/thecatholicworkerfarm,Community,7989.285714285714,8948,112.0,True
266,SAVE OUR EDUCATION CENTRE! URGENT APPEAL!,https://www.crowdfunder.co.uk/livlife,Community,5289.285714285715,8886,168.0,True
267,FULL CIRQLE - Edinburgh's Centre for Circus Arts,https://www.crowdfunder.co.uk/full-cirqle-edinburghs-centre-for-circus-arts,Community,5008.474576271186,8865,177.0,True
268,"""Make An Entrance"" at The Soapbox Theatre",https://www.crowdfunder.co.uk/make-an-entrance-at-the-soapbox,Community,7966.666666666667,8843,111.0,True
269,Help us bring Redcatch Community Garden to life!,https://www.crowdfunder.co.uk/redcatch-community-garden-1,Community,7890.178571428571,8837,112.0,True
270,Stop and Search on Trial,https://www.crowdfunder.co.uk/stops-on-trial,Community,7011.904761904762,8835,126.0,True
271,Holy Trinity Bramley Bell Restoration Appeal,https://www.crowdfunder.co.uk/holytrinitybramleybellrestorationappeal,Community,8531.067961165048,8787,103.0,True
272,Funeral for a Friend,https://www.crowdfunder.co.uk/help-for-hammond,Community,3993.119266055046,8705,218.0,True
273,North East Dartmoor Care,https://www.crowdfunder.co.uk/nedcare,Community,5979.310344827586,8670,145.0,True
274,Aberaid,https://www.crowdfunder.co.uk/aberaid,Community,20127.906976744187,8655,43.0,False
275,Rowan Lloyd,https://www.crowdfunder.co.uk/rowan-lloyd,Community,4995.953757225433,8643,173.0,True
276,#LifeIsWorthTheFight,https://www.crowdfunder.co.uk/lifeisworththefight,Community,6018.881118881119,8607,143.0,True
277,WisdomHub TV the Online Earth Wisdom School,https://www.crowdfunder.co.uk/wisdom-hub-tv,Community,19990.697674418603,8596,43.0,False
278,Improvements to the Loch Lomond & Cowal Way,https://www.crowdfunder.co.uk/lochlomondandcowalway,Community,50529.41176470588,8590,17.0,False
279,A Marquee for Laura's Celebration of Life Party,https://www.crowdfunder.co.uk/lauras-celebration-of-life,Community,3000.0,8580,286.0,True
280,Keep Olivia's Wheels,https://www.crowdfunder.co.uk/keep-olivias-wheels,Community,5483.974358974359,8555,156.0,True
281,WeGetTogether,https://www.crowdfunder.co.uk/WeGetTogether,Community,5985.915492957746,8500,142.0,True
282,The Avenues Youth Project - Teenage Peer Support and Employability Project,https://www.crowdfunder.co.uk/the-avenues-youth-project-energy-makeover,Community,8500.0,8500,100.0,True
283,Zero Waste Shop Norwich,https://www.crowdfunder.co.uk/zero-waste-shop-norwich,Community,7792.660550458716,8494,109.0,True
284,Learnshare: Skills Network Cooperative Enterprise,https://www.crowdfunder.co.uk/learnshare-collective,Community,8004.7169811320755,8485,106.0,True
285,The VegShed @ Tolhurst Organic,https://www.crowdfunder.co.uk/the-vegshed,Community,7681.818181818181,8450,110.0,True
286,1BTN (1 Brighton FM),https://www.crowdfunder.co.uk/1btn,Community,15075.0,8442,56.0,False
287,Iconic volunteer club needs a new sports leader,https://www.crowdfunder.co.uk/iconic-volunteer-club-needs-a-new-sports-leader,Community,3663.0434782608695,8425,230.0,True
288,Let's Build a Broch!,https://www.crowdfunder.co.uk/lets-build-a-broch,Community,5001.7964071856295,8353,167.0,True
289,HELP us to open up a new Community Space!!! ❤️,https://www.crowdfunder.co.uk/help-us-to-open-up-a-new-community-space-,Community,19880.952380952378,8350,42.0,False
290,Vocalise,https://www.crowdfunder.co.uk/vocalisemagazine,Community,7998.076923076923,8318,104.0,True
291,GI goes camping 2015,https://www.crowdfunder.co.uk/gi-goes-camping-2015,Community,7995.192307692308,8315,104.0,True
292,Help Heat Our Hut,https://www.crowdfunder.co.uk/help-heat-our-hut,Community,8198.019801980197,8280,101.0,True
293,Give Carol's village the clean water it so needs,https://www.crowdfunder.co.uk/just-a-drop,Community,8019.417475728156,8260,103.0,True
294,The Dig For Victory Show,https://www.crowdfunder.co.uk/dig-for-victory-show,Community,7970.588235294117,8130,102.0,True
295,The 2017 Crystal Palace Festival fundraiser,https://www.crowdfunder.co.uk/the-2017-festival-fundraiser,Community,7995.049504950495,8075,101.0,True
296,Exeter Christmas Lights,https://www.crowdfunder.co.uk/exeter-christmas-lights,Community,7981.188118811881,8061,101.0,True
297,But... What Happens When It Rains,https://www.crowdfunder.co.uk/but-what-happens-when-it-rains,Community,6015.037593984963,8000,133.0,True
298,SturYouth-Duke of Edinburgh-Defib,https://www.crowdfunder.co.uk/sturyouth-duke-of-edinburgh-defib,Community,8000.0,8000,100.0,True
299,Organic market garden for Manchester,https://www.crowdfunder.co.uk/grow-local-food,Community,7024.778761061947,7938,113.0,True
300,Restore Bristol Harbourside Reed Bed,https://www.crowdfunder.co.uk/repair-and-restore-harbourside-reed-bed,Community,5984.848484848485,7900,132.0,True
301,organicARTS Mini Bus Appeal,https://www.crowdfunder.co.uk/mini-bus-appeal,Community,7516.190476190476,7892,105.0,True
302,Keep the Kiln Firing,https://www.crowdfunder.co.uk/new-kiln-for-the-star-pottery,Community,6990.178571428571,7829,112.0,True
303,Broadmayne Swimming Pool Renovation Project SOS,https://www.crowdfunder.co.uk/broadmayne-swimming-pool-renovation-project,Community,9988.461538461539,7791,78.0,False
304,Help us to hatch our animatronic baby dinosaur!,https://www.crowdfunder.co.uk/dinosaurs-of-china,Community,4005.181347150259,7730,193.0,True
305,The UK's first black girl festival,https://www.crowdfunder.co.uk/the-uks-first-black-girl-festival,Community,5982.945736434109,7718,129.0,True
306,Win Edinburgh North and Leith for the SNP,https://www.crowdfunder.co.uk/win-edinburgh-north-and-leith-for-the-snp,Community,4990.909090909091,7686,154.0,True
307,clean water for kids in Kazo,https://www.crowdfunder.co.uk/clean-water-for-kids-in-kazo,Community,6981.818181818181,7680,110.0,True
308,Towford Outdoor Centre,https://www.crowdfunder.co.uk/towford,Community,6003.937007874016,7625,127.0,True
309,Stop Violence: End FGM,https://www.crowdfunder.co.uk/end-fgm-in-kenya,Community,7178.301886792453,7609,106.0,True
310,The Village Butty -  a floating village hall,https://www.crowdfunder.co.uk/the-village-butty,Community,4987.5,7581,152.0,True
311,DoES Liverpool move home!,https://www.crowdfunder.co.uk/does-liverpool,Community,4986.842105263158,7580,152.0,True
312,100 Community and Dramatic Arts Event,https://www.crowdfunder.co.uk/100,Community,7484.158415841584,7559,101.0,True
313,Help Khadija,https://www.crowdfunder.co.uk/help-khadija,Community,10020.0,7515,75.0,False
314,Launching Apollo: One Giant Leap! in Dorchester,https://www.crowdfunder.co.uk/apollo-one-giant-leap,Community,5006.666666666667,7510,150.0,True
315,#SAVEYWMP,https://www.crowdfunder.co.uk/saveywmp,Community,15136.734693877552,7417,49.0,False
316,RESPECT FESTIVAL PARADE PROGRAMME,https://www.crowdfunder.co.uk/respect-festival-parade-2,Community,5975.806451612903,7410,124.0,True
317,Friends of Hastings Pier Campaign and Reserve Fund,https://www.crowdfunder.co.uk/fohp,Community,19891.89189189189,7360,37.0,False
318,Campaign to keep Greenwood Surgery open!,https://www.crowdfunder.co.uk/campaign-to-keep-greenwood-surgery-open,Community,5000.0,7350,147.0,True
319,Save Streatham Common Paddling Pool,https://www.crowdfunder.co.uk/save-streatham-common-paddling-pool,Community,7028.846153846153,7310,104.0,True
320,She Who Knows Magazine,https://www.crowdfunder.co.uk/shewhoknows,Community,6990.384615384616,7270,104.0,True
321,Clear Lines,https://www.crowdfunder.co.uk/clear-lines,Community,3504.854368932039,7220,206.0,True
322,Lancashire County Council's fracking decisions.,https://www.crowdfunder.co.uk/lancashire-county-councils-fracking-decisions,Community,9979.166666666668,7185,72.0,False
323,'Remember When...'  dementia cafe for all,https://www.crowdfunder.co.uk/remember-when-dementia-cafe,Community,5006.993006993007,7160,143.0,True
324,Flags For Nepal,https://www.crowdfunder.co.uk/flags-for-nepal,Community,4998.601398601399,7148,143.0,True
325,Sonning Common Says No to Gallagher,https://www.crowdfunder.co.uk/sonning-common-says-no-to-gallagher,Community,4996.5034965034965,7145,143.0,True
326,Remembering Liz Lacey,https://www.crowdfunder.co.uk/remembering-liz,Community,4982.517482517483,7125,143.0,True
327,Let's buy Subi Philip a new car: Goal reached!,https://www.crowdfunder.co.uk/lets-buy-subi-philip-a-new-car,Community,5009.154929577465,7113,142.0,True
328,Cardinal FM Radio,https://www.crowdfunder.co.uk/cardinal-fm,Community,5975.63025210084,7111,119.0,True
329,Riding The Storms,https://www.crowdfunder.co.uk/ridingthestorms,Community,6991.089108910892,7061,101.0,True
330,TechBritannia: The Tech Torch Tour,https://www.crowdfunder.co.uk/techbritanniathe-tech-torch-tour,Community,10064.285714285714,7045,70.0,False
331,The Good Fight,https://www.crowdfunder.co.uk/the-good-fight,Community,5014.285714285715,7020,140.0,True
332,The Good Wardrobe Bristol,https://www.crowdfunder.co.uk/the-good-wardrobe-bristol,Community,6007.758620689656,6969,116.0,True
333,Children's Creative Hub : The Soapbox Theatre,https://www.crowdfunder.co.uk/childrens-creative-hub,Community,5987.931034482759,6946,116.0,True
334,The Purchase of Tutbury Bowls Club,https://www.crowdfunder.co.uk/the-purchase-of-tutbury-bowls-club,Community,5004.347826086956,6906,138.0,True
335,Project Brailler,https://www.crowdfunder.co.uk/project-brailler,Community,5008.029197080292,6861,137.0,True
336,Support for Mark Scott Slough Town FC Keeper,https://www.crowdfunder.co.uk/supporting-mark-scott-after-breaking-his-neck,Community,4996.350364963504,6845,137.0,True
337,"STOP ULTRA RARE  BEING UNFAIR , FUND THE GAP.",https://www.crowdfunder.co.uk/stop-rare-being-unfair-fund-the-gap,Community,4000000.0,6842,0.17105,False
338,Exeter Food Action,https://www.crowdfunder.co.uk/exeterfoodaction,Community,5987.719298245614,6826,114.0,True
339,Help send Jamie to Australia #BeatCancer,https://www.crowdfunder.co.uk/help-send-jamie-to-australia-beatcancer,Community,2000.0,6740,337.0,True
340,DS Daily,https://www.crowdfunder.co.uk/ds-daily,Community,5013.432835820895,6718,134.0,True
341,The running costs for a Sensory Room,https://www.crowdfunder.co.uk/sensoryroommk,Community,6519.417475728156,6715,103.0,True
342,Re-elect Patrick Harvie,https://www.crowdfunder.co.uk/re-elect-patrick-harvie,Community,5009.701492537314,6713,134.0,True
343,Little Village Southwark,https://www.crowdfunder.co.uk/little-village-southwark,Community,3005.829596412556,6703,223.0,True
344,Save Plymouth Albion,https://www.crowdfunder.co.uk/save-plymouth-albion-1,Community,222633.33333333334,6679,3.0,False
345,Buy Sutton Coldfield Owl at The Big Hoot auction,https://www.crowdfunder.co.uk/buy-sutton-coldfield-owl-at-the-big-hoot-auction,Community,5011.278195488721,6665,133.0,True
346,Local Food Takeaway Project,https://www.crowdfunder.co.uk/local-food-takeaway-project,Community,6000.0,6660,111.0,True
347,"The Seed, Africa: Educate a girl and change the world",https://www.crowdfunder.co.uk/the_seed_africa_educate_a_girl_and_change_the_world,Community,6722.222222222223,6655,99.0,False
348,The Wave Project Appeal,https://www.crowdfunder.co.uk/waveproject,Community,5015.151515151515,6620,132.0,True
349,Help me say goodbye to my baby.,https://www.crowdfunder.co.uk/help-me-say-goodbye-to-my-baby,Community,2994.5701357466064,6618,221.0,True
350,Rebuild The Playground Of Wells,https://www.crowdfunder.co.uk/rebuild-the-playground-of-wells,Community,94528.57142857143,6617,7.0,False
351,We Rise - Life changing real work experiences,https://www.crowdfunder.co.uk/werisechanginglives,Community,5372.950819672131,6555,122.0,True
352,Community Transformation through Legal Education,https://www.crowdfunder.co.uk/Giving-female-african-prisoners-access-to-legal-education,Community,5491.596638655462,6535,119.0,True
353,Salford City Radio,https://www.crowdfunder.co.uk/salfordcityradio,Community,4988.5496183206105,6535,131.0,True
354,Tide of Light,https://www.crowdfunder.co.uk/tide-of-light,Community,5987.155963302753,6526,109.0,True
355,Candid Beer - craft beer and community hub,https://www.crowdfunder.co.uk/candid-beer,Community,7459.770114942529,6490,87.0,False
356,Steeple For The People,https://www.crowdfunder.co.uk/steepleforthepeople,Community,10062.5,6440,64.0,False
357,Solar for Dracaena!,https://www.crowdfunder.co.uk/solar-for-dracaena,Community,4992.248062015504,6440,129.0,True
358,Sheffield Street Trees Legal Fund 2018 3,https://www.crowdfunder.co.uk/sheffield-street-trees-legal-fund-2018-3,Community,2001.8691588785045,6426,321.0,True
359,A Hearth  for Helston,https://www.crowdfunder.co.uk/a-hearthfor-helston,Community,5015.625,6420,128.0,True
360,Ben's Bucket List / 40th Birthday,https://www.crowdfunder.co.uk/bens-bucket-list,Community,500.0,6385,1277.0,True
361,The Posh Club,https://www.crowdfunder.co.uk/the-posh-club,Community,9943.75,6364,64.0,False
362,All Under One Banner- 2018 Campaign,https://www.crowdfunder.co.uk/auob2018,Community,4781.954887218045,6360,133.0,True
363,Agbopa Village Solar Electric Deployment,https://www.crowdfunder.co.uk/agbopa-village-solar-electric-deployment,Community,9929.6875,6355,64.0,False
364,Giving back to Adam,https://www.crowdfunder.co.uk/giving-back-to-adam,Community,5614.159292035398,6344,113.0,True
365,Helping Special Needs Clients To Access Exercise.,https://www.crowdfunder.co.uk/dobsonfitness,Community,6014.285714285715,6315,105.0,True
366,Stone Railhead Crisis Group,https://www.crowdfunder.co.uk/stone-railhead-crisis-group,Community,15023.809523809525,6310,42.0,False
367,Worthing town centre Changing Places toilet,https://www.crowdfunder.co.uk/worthing-accessible-toilet,Community,2993.3333333333335,6286,210.0,True
368,John Bartlett Memorial fund,https://www.crowdfunder.co.uk/john-bartlett-fund-raising,Community,7473.809523809524,6278,84.0,False
369,Help Dawn recover her home!,https://www.crowdfunder.co.uk/help-dawn-recover-her-home,Community,29890.47619047619,6277,21.0,False
370,Dig In For The Cafe In The Park @ CFC Altrincham,https://www.crowdfunder.co.uk/dig-in-for-the-cafe-in-the-park-cfc-altrincham,Community,6152.941176470588,6276,102.0,True
371,Chorley FC: Secure our stadium,https://www.crowdfunder.co.uk/chorley-fc-secure-our-stadium,Community,5000.0,6250,125.0,True
372,Help Nia buy a van to help women in prostitution,https://www.crowdfunder.co.uk/van-for-prostitution-exiting-advocacy-outreach-2,Community,14840.476190476189,6233,42.0,False
373,Save Our Sands,https://www.crowdfunder.co.uk/save-our-sands,Community,4984.8,6231,125.0,True
374,Protection Approaches,https://www.crowdfunder.co.uk/protection-approaches,Community,4984.0,6230,125.0,True
375,Pets' Corner Emergency Fund,https://www.crowdfunder.co.uk/pets-corner-emergency-fund,Community,5000.0,6200,124.0,True
376,RAF Coltishall Heritage Centre,https://www.crowdfunder.co.uk/raf-coltishall-heritage-centre,Community,6013.592233009709,6194,103.0,True
377,Fixing Boundary Road,https://www.crowdfunder.co.uk/fixing-boundary-road-2,Community,4983.870967741936,6180,124.0,True
378,Get Charly and Edd home,https://www.crowdfunder.co.uk/get-charly-and-edd-home-1,Community,9967.741935483871,6180,62.0,False
379,Newquay Orchard Forest Den and Wood Workshop,https://www.crowdfunder.co.uk/newquay-orchard-wood-recycling-yard,Community,5008.130081300813,6160,123.0,True
380,South London Theatre - Equipment for theatre,https://www.crowdfunder.co.uk/south-london-theatre-refurbishment,Community,29285.714285714283,6150,21.0,False
381,Oxford Care Leavers Christmas 2017,https://www.crowdfunder.co.uk/notaloneforchristmas,Community,2997.560975609756,6145,205.0,True
382,Author Your Future Self,https://www.crowdfunder.co.uk/authoryourfutureself,Community,6019.607843137255,6140,102.0,True
383,Frome Fire Cadets,https://www.crowdfunder.co.uk/frome-fire-cadets,Community,6014.705882352941,6135,102.0,True
384,Studio Accessibility Upgrade,https://www.crowdfunder.co.uk/studio-accessibility-upgrade,Community,10049.180327868853,6130,61.0,False
385,The Clubhouse,https://www.crowdfunder.co.uk/theclubhouse,Community,7463.414634146342,6120,82.0,False
386,Lots of Talk and No Conversation: Breaking Through Dementia (an advanced communication model),https://www.crowdfunder.co.uk/lots_of_talk_and_no_conversation_breaking_through_dementia_an_advanced_communication_model,Community,6509.574468085107,6119,94.0,False
387,Paris: the ONLY support for Newham LGBT youth,https://www.crowdfunder.co.uk/parisyouth,Community,5995.098039215686,6115,102.0,True
388,Stir to Action: Workshop Programme,https://www.crowdfunder.co.uk/stir-workshops,Community,5012.295081967213,6115,122.0,True
389,Help for Hannah,https://www.crowdfunder.co.uk/help-for-hannah-2,Community,5504.504504504504,6110,111.0,True
390,Surbiton Christmas Lights,https://www.crowdfunder.co.uk/christmas-in-surbiton,Community,6029.70297029703,6090,101.0,True
391,The Path To Good Medicine,https://www.crowdfunder.co.uk/the-path-to-good-medicine,Community,6011.881188118811,6072,101.0,True
392,Cycling Without Age - Brighton & Hove,https://www.crowdfunder.co.uk/cycling-without-age-brighton-hove,Community,6009.9009900990095,6070,101.0,True
393,A kitchen for the Bennett Centre,https://www.crowdfunder.co.uk/a-kitchen-for-the-bennett-centre-2,Community,5981.188118811881,6041,101.0,True
394,"Feed 500 Children, free healthy meals for 1 year",https://www.crowdfunder.co.uk/feed-500-first-steps-children,Community,5980.198019801981,6040,101.0,True
395,The Red House Theatre Project,https://www.crowdfunder.co.uk/the-red-house-theatre-project,Community,4987.603305785124,6035,121.0,True
396,The Brum Xmas Dinner,https://www.crowdfunder.co.uk/brumxmasdinner,Community,4247.887323943662,6032,142.0,True
397,Little Ed Fringe Festival 2019,https://www.crowdfunder.co.uk/little-ed-fringe-festival-2019,Community,6005.0,6005,100.0,True
398,Annan Harbour reopening,https://www.crowdfunder.co.uk/AnnanHarbour,Community,6002.0,6002,100.0,True
399,Copley Academy Sea Cadets Crowdfunder,https://www.crowdfunder.co.uk/copley-sea-cadets-fundraising,Community,4511.278195488721,6000,133.0,True
400,Herne Hill Piano Plea,https://www.crowdfunder.co.uk/herne-hill-piano-plea,Community,5008.403361344538,5960,119.0,True
401,Save Abbotshall Road Healthy Lifestyle Centre,https://www.crowdfunder.co.uk/healthy-lifestyle-centre-abbotshall-road-catford,Community,5013.559322033898,5916,118.0,True
402,FREEMOOVEMENT Community Health Programme,https://www.crowdfunder.co.uk/freemoovement,Community,5421.100917431193,5909,109.0,True
403,Penwith Radio FM launch campaign,https://www.crowdfunder.co.uk/Penwith-Radio-FM-launch-campaign,Community,4989.830508474576,5888,118.0,True
404,Tottenham Community Press - Your news your way,https://www.crowdfunder.co.uk/tottenhamcommunitypress,Community,15017.948717948719,5857,39.0,False
405,Save The Public Rooms,https://www.crowdfunder.co.uk/bodminpublic-rooms,Community,48791.66666666667,5855,12.0,False
406,Common and Kind 2018,https://www.crowdfunder.co.uk/common-and-kind-2018,Community,11928.57142857143,5845,49.0,False
407,Ymlaen Moelyci - Forward Moelyci,https://www.crowdfunder.co.uk/ymlaen-moelyci-forward-moelyci,Community,144500.0,5780,4.0,False
408,Devon & Cornwall Refugee Support - Centre Refurb,https://www.crowdfunder.co.uk/refugeesupport,Community,5004.347826086956,5755,115.0,True
409,Festive Northenden,https://www.crowdfunder.co.uk/festive-northenden,Community,5519.2307692307695,5740,104.0,True
410,Bike Ride to Paris - Le COP Crusade,https://www.crowdfunder.co.uk/le-bristol-to-paris-ride-for-cop21,Community,4978.260869565217,5725,115.0,True
411,Family Activity Center - Tumble In The Jungle,https://www.crowdfunder.co.uk/family-activity-center-tumble-in-the-jungle,Community,10035.087719298244,5720,57.0,False
412,Save Streatham Common Paddling Pool 2018,https://www.crowdfunder.co.uk/save-streatham-common-paddling-pool-2018,Community,5004.3859649122805,5705,114.0,True
413,The Fiery Bird,https://www.crowdfunder.co.uk/the-fiery-bird,Community,71162.5,5693,8.0,False
414,Salt City New Website and Online Shop,https://www.crowdfunder.co.uk/salt-city-new-website-and-online-shop,Community,499.8237885462555,5673,1135.0,True
415,Gardening at Yarl's Wood,https://www.crowdfunder.co.uk/gardening-at-yarls-wood,Community,5007.079646017699,5658,113.0,True
416,Sue Martyn Funeral Appeal,https://www.crowdfunder.co.uk/sue-martyn-funeral-appeal,Community,1000.0,5630,563.0,True
417,Heswall ICE Christmas Festival,https://www.crowdfunder.co.uk/heswall-ice-christmas-festival,Community,20107.14285714286,5630,28.0,False
418,Stories of Sanctuary on Tour,https://www.crowdfunder.co.uk/stories-of-sanctuary-on-tour,Community,4981.41592920354,5629,113.0,True
419,Light Up Wednesfield,https://www.crowdfunder.co.uk/light-up-wednesfield,Community,3989.3617021276596,5625,141.0,True
420,Transforming Finance 2016: Follow The Money,https://www.crowdfunder.co.uk/transforming-finance-2016-follow-the-money,Community,1000.0,5610,561.0,True
421,Help Gili Trawangan,https://www.crowdfunder.co.uk/help-gili-trawangan,Community,2001.7857142857142,5605,280.0,True
422,Going to Guyana,https://www.crowdfunder.co.uk/ursulaguy-ana,Community,5600.0,5600,100.0,True
423,Small is festival,https://www.crowdfunder.co.uk/Small-is-festival,Community,4995.535714285715,5595,112.0,True
424,Help us make history!,https://www.crowdfunder.co.uk/help-us-make-history,Community,4991.071428571428,5590,112.0,True
425,What is your Super Power?,https://www.crowdfunder.co.uk/what-is-your-super-power-,Community,5018.181818181818,5520,110.0,True
426,Leg it to Africa,https://www.crowdfunder.co.uk/legittoafrica,Community,5500.0,5500,100.0,True
427,chudleigh road fire victims,https://www.crowdfunder.co.uk/chudleigh-road-fire-victims,Community,5000.0,5500,110.0,True
428,Reform Radio needs help building a new studio,https://www.crowdfunder.co.uk/reformradio,Community,5000.0,5500,110.0,True
429,Darek Skrzypkski funeral/pogrzeb,https://www.crowdfunder.co.uk/darek-skrzypkski-funeralpogrzeb-1,Community,5000.0,5500,110.0,True
430,Street Cramps,https://www.crowdfunder.co.uk/street-cramps-old,Community,3001.1049723756905,5432,181.0,True
431,Community Solar PV for the Pollyfield Centre,https://www.crowdfunder.co.uk/pollyfieldsolar,Community,10033.333333333332,5418,54.0,False
432,Help Baxter,https://www.crowdfunder.co.uk/help-baxter,Community,4987.037037037037,5386,108.0,True
433,Cairndow Childcare - New building  Family Centre,https://www.crowdfunder.co.uk/the-new-build,Community,48927.27272727273,5382,11.0,False
434,Dun-Roamin' Rescue S.A.D (Save A Dog) APPEAL,https://www.crowdfunder.co.uk/dun-roamindogrescue-2015-appeal,Community,5018.691588785046,5370,107.0,True
435,Fiona Poulson - New Album!,https://www.crowdfunder.co.uk/fiona-poulson-new-album,Community,5010.280373831776,5361,107.0,True
436,Powering Farnham Community Farm Forward,https://www.crowdfunder.co.uk/farnham-community-farm,Community,6021.348314606742,5359,89.0,False
